artists,titles
The Comancheros,Down in Flames
P.O.D.,Rockin' With The Best
Richard Barone,Nobody Knows Me
The Paper Jets,As It Gets
Arthur Bliss and  Fitzwilliam Quartet and  James Gilchrist and  Anna Tilbrook,Elegiac Sonnet
Asheba,Twinkle Twinkle Unplugged
Anonymous\xa0 and  Ronald A. Nelson and  John Ferguson and  The St. Olaf Choir,Alabare´ (arr. R. Nelson for choir)
Toshi Reagon,Dream
Christine Lavin,The Secrets At This Wedding
The Reverend Horton Heat,It's Martini Time (Live)
The Killdares,Push
Matt Johnson,Matthew's Yoga Music 416
Travis Pickle,It's Not U It's Me
Antonio Vivaldi and  Tamás Benkócs and  Nicolaus Esterhazy Sinfonia and  Béla Drahos,"Bassoon Concerto in A Minor, RV 499: II. Larghetto"
Johann Sebastian Bach and  Sally Bruce-Payne and  James Gilchrist and  Peter Harvey and  The Monteverdi Choir and  English Baroque Soloists and  John Eliot Gardiner,"Liebster Immanuel, Herzog der Frommen, BWV 123: Recitative: Kein Hollenfeind kann mich verschlingen (Bass)"
Northlane,Fade
Bobby Darin,Somebody to Love
Stratis,She’s Dancing
Lard,Generation Execute
The Gories,Leavin' Here
Junior Brown,Freedom Machine
Angela Davis,"Excerpt from ""Making a Difference"""
Jimmy Arnold,If
Okilly Dokilly,You're a Jerk
Henry Mancini,Come To The Mardi Gras
Grails,Burden of Hope
Bill Shirley and  André Previn,On The Street Where You Live (reprise)* - Voice
Duvall,Way Deep Inside
Joachim Raff and  Philharmonia Hungarica and  Werner Andreas Albert,"Symphony No. 9 in E Minor, Op. 208 ""Im Sommer"": II. Die Jagd der Elfen. Allegro"
Johann Sebastian Bach and  Glenn Gould,"3-Part Inventions (Sinfonias), BWV 787–801: Sinfonia No. 12 in A Major, BWV 798"
Svaba Ortak,Atlas
Gregory Isaacs,Lonely Man
Dishwalla,Set Me Free
Al Jarreau,Lean On Me
Luka Bloom,Listen To The River
Bachelors of Science and  Emcee Child,Backfoot Dub (feat. Emcee Child) [Bonus Track] - DJ Edit
James Alan Shelton,Handsome Molly
The Empty Pockets,The Grind
Erich Wolfgang Korngold and  BBC Philharmonic and  Matthias Bamert,"Symphonic Serenade in B-Flat Major, Op. 39: I. Allegro moderato, semplice"
Robert Schumann and  Evgeny Kissin,"Carnaval, Op. 9: XIV. Reconnaissance"
Hiroshi Yoshimura,Blink
Sly Boogy,Flow
"""Jim Funnells Word Out"" and  Isabelle Olivier",Interlude (feat. Isabelle Olivier)
Dmitri Shostakovich and  Stephen Burns and  Carol Rosenberger and  Los Angeles Chamber Orchestra and  Gerard Schwarz,"Piano Concerto No. 1 in C Minor, Op. 35: IV. Allegro con brio"
Popdefect,More Money for My Gigs
Koont Grinder and  Young Fraz,Break Dat Dope Down
Isaak,Adrift
Gwilym Simcock,Improvisation II - Letter to the Editor
Papa Roach,I Love Babies
Judy Collins,Both Sides Now
Gustav Holst and  Leonard Slatkin,"The Planets, Op. 32: Mars - The Bringer of War"
Core Zero,Ignite
Jasmine Guy and  Alison Fraser and  Pattie Darcy and  Laura Theodore and  Adriane Lenox and  Cookie Watkins,Do Right Woman
Kathleen Wilhoite,Ground Zero
Bill LaBounty,Look Who's Lonely Now
Heartache,N.U.M.B. - Kris Menace Remix
Sheer Mag,Blood from a Stone
Indestructible Noise Command,No Turning Back
Robert Fleischman,If You Want To
The Dogwatch Nautical Band,Deep Blue Sea
Mico Wave,Instant Replay
Stefan Andersson,Dreams Like Diamonds
Frank Morgan and  George Cables,Confirmation - Live in Concert
Gavin Coyle,Whiskey In The Jar
Dat Politics,Sad Snow Man
Multimagic,Sunshine
SubRosa,Killing Rapture
Tiffany Evans and  Bow Wow,I'm Grown - Album Version featuring Bow Wow
Alice Di Micele,Lift Us Up
Leño,Maneras de Vivir (Edit) - En Directo
Jill Jones,Kanga Roo
Antonio Vivaldi and  Camerata Bern and  Thomas Zehetmair,"The Four Seasons, Violin Concerto in E Major, RV 269 ""Spring"": I. Allegro"
Dan Gilliam,Ticket
Jeff Dunham,"Al Qaeda High, Ellen, The Girl's Restroom"
Overseer,Basstrap - Edit Album Version
Rishile Gumboot Dancers of Soweto,"Egoli, City of Gold"
The City of Prague Philharmonic Orchestra,"Overture (From ""The Cowboys"")"
The Karol Stoch Band,Kondracka
Earl Greyhound,Eyes of Cassandra (Part I)
H.P.P.,ScarWeld
Rex Paul,Circle With No End
Shovels & Rope,Kemba's Got The Cabbage Moth Blues
"""Kirbys Dream Band""",Islands
Helena Paparizou,You Set My Heart On Fire
Pyotr Ilyich Tchaikovsky and  Slovak State Philharmonic Orchestra and  Kosice and  Andrew Mogrelia,"The Sleeping Beauty, Op. 66: Le Prologue: Violente (Variation V)"
Kebu,Samba Saturn
Henrik Freischlader,Fire
Tayla Parx,Me vs. Us
Cities Last Broadcast,Bascule Bridge
Johnny Horton,North to Alaska
Malbec,Ангел
Andrew W.K.,Party Mindset
Ilse DeLange and  Calum Scott,You Are the Reason (Bonus Track)
Tom Richards Orchestra,Dropping Pennies
The Clash,I Fought the Law
Chicago,Ain't It Blue?
Muted,Metamorfosia
Kami-sama and  I have noticed,CQCQ
Jessica Rhaye,Song in Me
Ralph Stanley II,Blue Eyes Crying In The Rain
Wolfgang Amadeus Mozart and  Wayne Jones,"Quintet in A major for Clarinet and Strings, K. 581: II. Larghetto"
Whitesnake,Spit It Out - US Mix; 2019 Remaster
Tom McCormack,The Artist and the Snakes
Michael Tippett and  London Symphony Chorus and  London Symphony Orchestra and  Richard Hickox,"A Child of Our Time, Pt. 2: Chorus of the Self-Righteous. We Cannot Have Them in Our Empire"
Atli Heimir Sveinsson and  Árni Bjørnsson and  Iceland Symphony Orchestra and  Petri Sakari,"Romance, Op. 14 (arr. A.H. Sveinsson for violin and orchestra)"
The Iron Horse,Glen Tilt
Santiago De Murcia and  Gaspar Sanz and  Los Otros,Canarios
Rittz,Head Turner - Radio
Puglsey Munion,Slumberland Blues
Chain Station,Where I Want to Be
GARNiDELiA,極楽浄土
Saragossa Band,Kalimba De Luna
George Michael,Fastlove - Live
Chasing Lovely,Sleepwalking
Mike Watt,Antlered-Man
Vessels,Two Words and a Gesture
Montréal Guitare Trio,Tom Sawyer
Rafo Raez y los Paranoias,Nueva York
The Five Stairsteps,Come Back - Buddha Remastered 2001
Danger Danger and  Ted Poley,Good Time (feat. Ted Poley)
Buru,Valentine
The Harrow Family,Psalm 91 (Instrumental Version)
Michael Wollny and  Eva Kruse and  Eric Schaefer,Whiteout
Chris Goering & Friends,Ghost
Ron Clearfield,Himalayan Reverie
Andrew Gold,Oh Urania (Take Me Away)
Julian Sas,Thirty Days In The Hole
Bass Mekanik,76 Hz Sine Wave
Mark Isham,A Tale Of Two Cities
Edward Elgar and  Benjamin Nicholas,"Vesper Voluntaries, Op. 14: V. Poco lento"
Eddie Cantor,How Ya Gonna Keep Your Mind On Dancing
Com Truise,Pyragony (Bonus Track)
Sue Thompson,Candy And Roses
Dolly Parton and  Kenny Rogers,White Christmas
Kuh Ledesma,Kapalaran
Rose Rovine E Amanti,"Dersu uzala (Acqua, fuoco, vento)"
Greenrose Faire,Raindrops
Mocy and  Shawn MacRae & Soké,Coup de foudre (feat. Shawn MacRae & Soké)
DJ Screw & The Screwed Up Click,Represent to the End
Julio Jaramillo,Sacrificio
Roman Yakub,Dziaku
On The Rocks,Smile Like You Mean It
Illinois Jacquet,How Insensitive (Live)
Domenico Cimarosa and  Czech Philharmonic Chamber Orchestra and  Michael Halasz,Il matrimonio per sussurro: Overture. Allegro con spirito
Camila Cabello,I Have Questions
Clarice Assad,Aquarela do Brasil
Allan Pettersson and  Hannover Radio Philharmonic Orchestra and  Alun Francis,Symphony No. 11: III. Five measures before No. 48
Country Joe McDonald,Rock Coast Blues
Jody Sandhaus,I'll Think Of You
Johann Sebastian Bach and  Martin Stadtfeld,"Prelude and Fugue in E-Flat Minor, BWV 853"
Swarvy,I Dont Bite
Myriad3,Counter of the Cumulus
Ian Ring,Montgomery Dusk
Kaito,Saturday And Sunday
Alex Arrowsmith,Gas Station Jacket
Johann Sebastian Bach and  Helen Callus and  Luc Beauséjour,"Sonata No. 1 in G Major for Obbligato Harpsichord and Viola da Gamba, BWV 1027: I. Adagio"
Zhala,I'm in Love
Jason Meadows,You On Me
Kidz Jamz,Twinkle Twinkle Little Star
Davy Mooney,Swingset - Live
Céline Dion and  James Horner,"My Heart Will Go On - Love Theme from ""Titanic"""
Nicole,Wer bist Du
Swans,No Cruel Angel
Alex Farway and  Eminence,Belgium
Cyndi Lauper and  Puffy AmiYumi,Girls Just Want to Have Fun (feat. Puffy AmiYumi)
Kajmir Kwest,Stay on My Mind
Alondra Bentley,Star for Mummy
Martin Hayes & Dennis Cahill,Mulqueen's
Leona Williams,Yearning
Chatham County Line,Honeymoon
Nâdiya,Rêves d'enfants
Edgar Leslie Bainton and  BBC Philharmonic and  Paul Daniel,"3 Pieces: I. Elegy: Lento, molto tranquillo"
Master P,Need To Know
Widespread Panic,"Climb To Safety (Live from Washington, DC 1/25/2012)"
The Filthy Spectacula,Murder of Crows
Propeller and  Mark Spybey of Zoviet France & Dead Voices on Air,Untitled
Mike Zito,Death Row
Copeland,She Changes Her Mind
Songs To Your Eyes,In Cage
Mississippi Mass Choir,He'll Carry You
Blastah Beatz and  Sutter Kain and  Donnie Darko,Blast Shots
Phil Nimmons,Birdburger
Sam Webster,Jorj
Jeff Lorber,Always There
Leopold Godowsky and  Ilona Prunyi,Walzermasken: No. 14. Franzosisch
Josh Lopez,Jerusalem
Edwin,Better Days
Neal Smith,Bock To Bock
Sire,Dispositio I: the Hunt
Royal Trux,Purple Audacity #2
The Mae Shi,Run to Your Grave
Alkaline Trio,Ninety-Seven
Yun-Gun,"Intro: O.Y.G. Files, Vol. 2"
Bob Mintzer Big Band,Slo Funk
Flock of Dimes,Again (For the First Time)
Giuseppe Verdi and  Salvadore Cammarano and  Kiri Te Kanawa and  Sir John Pritchard and  London Philharmonic Orchestra,Il trovatore: Timor di me? - D'amor sull'ali rosee
Honor By August,Opportunity
Retic,F4
Viktoria Tolstoy,Give It All Your Heart
David Marcelle,Twelve Times Table
Aaron Copland,"Old American Songs (Set 1): The Boatmen's Dance (Minstrel Song, 1843)"
Sabrina Napoleone,Modir min
Nicholas Krgovich,A Trip to Town
Thomasina Levy and  David Darling,Parallel Universe
Heitor Villa-Lobos and  Francesca Anderegg and  Erika Ribeiro,"Martírio dos insetos, W213 (Arr. R. Averbach for Violin & Piano): II. O vagalume na claridade"
Bobby Day,Come Seven
K-Syran and  Electrik Disco,Shake That Booty (Electrik Disco Remix)
Max Bruch and  Jascha Heifetz and  Sir Malcolm Sargent,"Scottish Fantasy, Op. 46: Introduction: Grave; Adagio cantabile"
Johann Sebastian Bach and  Karine Georgian,"Cello Suite No. 1 in G Major, BWV 1007: V. Menuet I-II"
Junebug,Long Days with My Thoughts
MC Eiht,Nothing To Loose
Bossfight,Heat
Fishbone,Riot
The Alternate Routes,Rocking Chair
Dag Nasty,Throwing Darts
Eddi Reader,Should I Pray
Tommy Igoe and the Birdland Big Band,Common Ground
Bette Midler,He Was Too Good for Me / Since You Stayed Here
Burial Hex,Bo -II- Ne
Robert Mosci and  Bob Devos,Nancy
Johnny Mathis,Heavenly
Barry Manilow,It's All In The Game
Monstercat Call of the Wild,Monstercat Podcast Ep. 085
Theresa Griffith,I Miss You - Psalm 42
Dropkick,Crazy Conversation
Pyotr Ilyich Tchaikovsky and  Detroit Symphony Orchestra and  Neeme Järvi,"Francesca da Rimini, Op. 32: III. Andante cantabile non troppo —"
Supreme Lord,Hegemony5
The Great Tyrant,Handholder
The Call Up,Brand New Life
Sumac and  Keiji Haino,I'm Over 137% A Love Junkie And Still It's Not Enough Pt. 2
SYML,Girl
Fillmore Slim,Street Walker
Reincidentes,La Rabia
coldrain,A DECADE IN THE RAIN
Marianne Nowottny,Kung Fu Kitty
Messy Marv and  Marvaless,In The Traffic
Metric,Help I'm Alive (Danger Denial Anger Acceptance Mix)
Stranger Spirits,Not Me
Woody Russell,Delicious Days
The Prison Music Project,Survivalist
"David ""Fathead"" Newman",It Had to Be You
Diverse,In Accordance
Shemekia Copeland,Walk On
Rayburn Anthony,Feels Right At Home
Alkaline Trio,Do You Wanna Know?
Belchior,Bahiuno
Celtic Nots,Student Edward
Aretha Franklin,Say It Isn't So
10 and 000 Maniacs,City of Angels
Franz Joseph Haydn and  Ann Hoyt and  Luthien Brackett and  Stephen Sands and  Richard Lippold and  Trinity Church Choir and  New York and  Rebel Baroque Orchestra and  Owen Burdick,"Mass No. 6 in G Major, Hob.XXII:6, ""Missa Sancti Nicolai"", ""Nikolaimesse"": Credo: Et resurrexit"
Portal,Esp Ion Age
Ibrahim Electric and  Jeppe Tuxen and  Stefan Pasborg and  Niclas Knudsen,The Tuxen Shuffle - Live
Tony McManus,Goldberg
Code Orange,(quarantine)
Daniel Moore,Give A Little
"Billy Porter and  The Broadway Cast Of ""Kinky Boots""",Hark! the Herald Angel Sing
Rod Stewart,What Am I Gonna Do (I'm so in Love with You) - Alternate Mix
Lester Flatt & The Nashville Grass,Father's Table Grace
Slav De Hren,Synthetic Song
Swamp Dogg,I Lay Awake
Ishdub and  Shock and  Hector Lopez,Not all Heroes wear Capes
Boc Scadet,Remmy
Bernd Alois Zimmermann and  Siegfried Palm and  Saarbrücken Radio Symphony Orchestra and  Hans Zender,Cello Concerto en forme de pas de trois: I. Introduzione
Baldassare Galuppi and  Matteo Napoli,"Keyboard Sonata in D Minor, Illy No. 56: I. Andantino"
T Bone Burnett,Fatally Beautiful
Pristina,Paradigm
Cave In,Innuendo and Out the Other
Felix Mendelssohn and  Claus Peter Flor,"A Midsummer Night's Dream: March of the Fairies, Op. 61, No. 2"
Greater Vision,Just Ask
Sharon Shannon,Top Dog Gaffo
Rasha,Entre Dos Mares
Andy Williams,The Village Of St Bernadette
David Gogo,Santa Claus Wants Some Lovin'
Matteo Parente,Road Trip
Sugar Ray & The Bluetones,Too Many Rules and Regulations
Terry Grosvenor,Little Drops of Water
Jan Hammer,Pyramid
Lost Kings and  Norma Jean Martine,When We Were Young
Yaga & Mackie and  O.G Black and  Guayo,Provocadora
Tracy Johnson,When I Cry
The Ribeye Brothers,Horn Of Plenty
Popol Vuh,Hosianna - Mantra
Antonín Dvořák and  Paul Binkley and  Dana Rath and  Matt Flinner and  Adam Roszkiewicz and  Modern Mandolin Quartet,"String Quartet No. 12 in F Major, Op. 96, B. 179, ""American"" (arr. P. Binkley, M. Flinner, D. Rath and A. Roszkiewicz): II. Lento"
David Popper and  János Starker and  Shigeo Neriki,Feuillet d'album
Left Cross,Chaos Ascension
Elvis Presley,I Believe
Glenn Miller,Elmer's Tune - 2002 Remastered
Absofacto,Dissolve - acoustic
Ha*Ash and  Kalimba,Ya No (with Kalimba)
Natalie MacMaster and  Donnell Leahy,Hark The Herald Angels Sing
Hannah Fury,Girls That Glitter Love The Dark
Rhythm & Sound and  Bobbo Shanti,Poor People Must Work - Carl Craig Remix
Whiteheart,Speak Softly
Rocka Rollas,Guardians of the Oath
Alex Arrowsmith,Airwall Maze
Carole King,The Best Is Yet To Come
Mattia Turzo,Enigma Game
Richard Wagner and  MDR Leipzig Radio Symphony Orchestra and  Jun Markl,"Das Liebesverbot, WWV 38: Overture"
Matt Lange,East Coast
Dionne Warwick,I Could Make You Mine
Nobukazu Takemura,A Theme for Little Animals
Annette Markert and  Virtuosi Saxoniae and  Ludwig Güttler,"Weihnachtsoratorium BWV 248, Part 1: Bereite dich, Zion, mit zärtlichen Trieben"
Diverse,Mac Absorbs Reno Highlander - The Final Dimension
Mikhail Glinka and  Inga Fiolia,Variazioni brillanti on a theme from Donizetti's Anna Bolena in A Major
Archer Prewitt,Way of the Sun
Cheap Trick,World's Greatest Lover
Van Halen,Romeo Delight - 2015 Remaster
Isaac Albéniz and  Jorge Federico Osorio,"Suite espanola No. 1, Op. 47: No. 4. Cadiz (Saeta)"
Richard Cheese,Panda
Veikko Ahvenainen,Soita Humu-Pekka
Kevin Thornton,You Don't Have To Cry
Rebecca Harris and  Richard Stone and  Matthew Glandorf,"Mystery Sonata X, The Crucifixion and Death of Jesus: I. Praeludium"
Ohm-I,Konami Code Love
"""DERLANGER""",LULLABY -2015-
Havergal Brian and  Jana Valášková and  Slovak National Opera Chorus and  Slovak Philharmonic Chorus and  Echo Youth Choir and  Cantus Mixed Choir and  Brno Philharmonic Choir and  Slovak Radio Symphony Orchestra and  Adrian Leaper,"Symphony No. 4, ""Das Siegeslied"" (Psalm of Victory): I. Lento: Du gabst, Gott, einen gnadigen Regen"
Kevin Morby,Random Rules
Adam Makowicz,Midnight Sun - Lionel Hampton
Jimmy Murphy,"We Live A Long, Long Time"
Naty Botero,Tengo Que Dejarte Ir
Frank Panduh,Memory Waves
George Frederic Handel (1685-1757) and  Philharmonia Virtuosi and  Mela Tenenbaum and  Dorothy Lawson,Eight Pieces for Violin and Cello: vii. Menuet with 2 Variations
Smoking Popes,Days Just Wave Goodbye
Mandolin Orange,Late September
Moskitoo,Wonder Particle
Vee Mukarati,There Were Times
New Kids On The Block,Hangin' Tough
The Real Dionysus,Too Bad For You
Antonín Dvořák and  Slovak State Philharmonic Orchestra and  Kosice and  Robert Stankovsky,"Rusalka, Op. 114, Act II: Polonaise"
Xaver Scharwenka and  Alexander Markovich and  Estonian National Symphony Orchestra and  Neeme Järvi,"Piano Concerto No. 3 in C-Sharp Minor, Op. 80: II. Adagio -"
Ray Rivera,Song For Julia
Rockabye Baby!,Great Big Sled
French Montana and  Remy Ma,New Thang (From the Original Motion Picture Soundtrack 'Uncle Drew')
Francisco Tárrega and  Tom Kerstens,Pepita (polka)
JR Writer,Middle Finger
Max Wild & Sam Mtukudzi,Ndakuvara (feat. Sam Mtukudzi)
John Hilsen,A Tapestry of Twirling Matter
Lir,Nest
Jay Tee,I Got What You Like feat. Miami
The Very Girls,Clayton [Intro]
Fidel Funes Y Su Marimba Orquesta,Maria Espejo
Black C and  Big MoMo,The Stakes Is High
Gitar,Join Us
James Gordon,Sunny Jim
Nelson Cavaquinho,A Flor e o Espinho
Graveshadow,Call of the Frostwolves – I. Slave
Shanks and the Dreamers,Tweeds
Frank Morgan,I Mean You - Live at the Jazz Standard
Duncan Millar,Blue Cool
JGreen,Look Like
Trijntje Oosterhuis,I Was Made to Love Her
Anthony,My Machiavellian Girl
WWE and  Jim Johnston,D-Generation X
Z-Planet and  Mc Armstrong,1966 - Unmixed Version
Kurt Weill and  Palast Orchester and  Max Raabe and  H.K. Gruber,Lied der Jenny (with Max Raabe)
H-Blockx,Step Back
Buffering the Vampire Slayer,Witch
Sarah Slean,Euphoria
Stefania Passamonte,Symphonic Etuden Op.13: VI. Scherzando (4Th Variation)
Fastbacks,I Guess
Bedårande Barn,Du Lever Bara En Gång - Live
Bill Orcutt,John Fahey Commemorative Beer Can
Gioachino Rossini and  Randall Bills and  Alessandra Marianelli and  Maxim Mironov and  Virtuosi Brunensis and  José Miguel Pérez-Sierra,"Ricciardo e Zoraide, Act I: Scaccia ogni tema - Che veggo!"
Death,Denial of Life - Rehearsals 08-20-1986
Paul Cardall,Did You Think to Pray?
Electric Light Orchestra,Mr. Blue Sky
Black Tape For A Blue Girl,"We Exist, Entwined"
Infected Mushroom,Sense of Direction
Blue Öyster Cult,"Before the Kiss, a Redcap"
The Okee Dokee Brothers,Don't Fence Me In
Claude Debussy,Children's Corner: II. Jimbo's Lullaby
AWOLNATION,Knights of Shame
The Juan Maclean,Just Once More - Extended Dirt Mix
E,Timberland / I Die
Circle of Sighs,Burden of the Flesh
Mojo Radio,Gilded Cage
Maeve Hughes,Hidden Track
Peter Asplund and  Dalasinfoniettan,Candide: It Must Be so (Arr. M. Halling)
CZARFACE and  MF DOOM and  Vinnie Paz,Astral Traveling
Emil Newman,Excerpt with Narration and Sound Effects – Island in the Sky
Kammerflimmer Kollektief,Blood
Dead Kid Harvester,Old Bloopbeard's Tale
Andy Dimacale,If I Were Me
Bear McCreary,Cassiopeia
Carl Verheyen Band,Mercury Rain
Cardi B,Washpoppin
Flashback,Foxhounds and Fiddles
Ekko,Aishiteru
Johann Sebastian Bach and  Roger Woodward,"Fuge Nr. 23 H-Dur, BWV 892"
Schwarzblut and  Binary Division,Judas - Binary Division Mix
Mike Shinoda,Can't Hear You Now
Ceremony,Lost Forever
Alain Souchon,Âme fifties
Merciless,Cold Eyes Of Grey
SoulHat,Mailbox
Blood Feathers and  Mazarin,Clever Devil
Lackluster,28/06/00
Patrick Yandall,Blues On 5th Avenue
MadPolecats,I Hear Them All
Rockabye Baby!,The Modern Things
Melodic Intersect and  Zohaib Hasan and  Hans Utter and  Enayet Hossain,Ocean's Lullaby
Julie Byrne,Piano Music for Lucy
Old Dominion,Some People Do - Meow Mix
John Legend,I Know Better
Surefire,Comeback Kid
The Fat Man and Team Fat,Doorbell
Sole And The Skyrider Band,Black
Austin Young & NO difference,Not As Strong
Exit 13,Wake up and Change!
Carneyball Johnson,Interstellar Nut Guy's Low Ways
Future,Jumpin on a Jet
Knova,Eight Bit Squish
Fiona,Draw the Line
Blush,Doing It Better
Left Wing Fascists,She's Bananas
Silent Natives,Loosen Your Grip
Soundshok,Self Destroyer
Mack Avenue SuperBand,Of Mars and Venus
The Jerry Cans,Alianait
Sligo Rags,We're Irish Tonight (Hung Over in the Morning)
Vanessa Trien,Rockin' Rocket
Nir Shoshani,Walk the Thin Line
Si Cranstoun,Coupe De Ville
Thomas Bergersen,Fearless
Franz Ferdinand,Huck And Jim
Mary Lou Williams,"The History of Jazz According to Mary Lou - Recorded Live, May 8, 1977"
Shane Murphy,You Can't Let Go and Still Hold On
Traditional and  Keith Chapman and  Philadelphia Brass and  Peter Richard Conte,"Bring a Torch, Jennette Isabella (arr. K. Chapman)"
Anton Bruckner and  Philharmonie Festiva and  Gerd Schaller,"Symphony No. 4 in E-Flat Major, WAB 104, ""Romantic"" (1886 version, ed. L. Nowak): I. Bewegt, nicht zu schnell"
Deep Forest,Katharina
Hefner,Underfed
Georg Philipp Telemann and  Olivia Stahn and  Elisabeth Scholl and  Matthias Rexroth and  Friedrich Praetorius and  Albrecht Sack and  Henryk Bohm and  Tobias Berndt and  Dieter Bellmann and  Saxon Baroque Orchestra and  Gotthold Schwarz,Germanicus: Act II: Am Abend findet sich Agrippina
Johann Sebastian Bach and  Bernard Labadie and  Les Violons du Roy,"Goldberg Variations, BWV 988 (arr. B. Labadie): Variation 4: a 1 Clav."
Malice,Godz of Thunder
Saurom,Azogue En Vergel
Martin George Selwood,Sincerity
Aleksandar Dimitrijevic,Find Your Honor
Goth Mountain,Another May
Elvie Thomas & Geeshie Wiley,Over To My House
Frank Petruccelli,Catacombs & Mausoleums
Odyssey,"Weekend Lover - 7"" Remix"
Selphius,Los! Los! Los! (Saga of Tanya the Evil)
Wild Style Lion feat. Kim Gordon and  Kim Gordon and  Khan,Lovewasinme - Khan Remix
Nightlights,Good Morning Mr. Breakfast
IC3PEAK,Слезы
SES,A Sodomita
Macky,Super Mario
Edward Elgar and  Jacqueline du Pré and  Daniel Barenboim and  Philadelphia Orchestra,"Cello Concerto in E Minor, Op. 85: IV. Allegro - Moderato - Allegro ma non troppo"
Modest Mussorgsky and  Sa Chen,Pictures at an Exhibition: Promenade
Lovesliescrushing,ckaif
Tatiana,Via Dolorosa
Patrick Hadley and  Choir of Jesus College and  Cambridge and  Mark Williams,My Beloved Spake
Sergei Prokofiev and  Kun-Woo Paik and  Polish National Radio Symphony Orchestra and  Antoni Wit,"Piano Concerto No. 2 in G Minor, Op. 16: III. Intermezzo: Allegro moderato"
Fallen From Grace,Too far to reach
Tony Mitchell,Take a Look at Me Now
Taylor Dayne,You Meant the World to Me
The Replacements,Talent Show - Demo Version
Sandbox Interactive and  Jonne Valtonen,Disciples of Morgana
Johannes Brahms and  Helsingborg Symphony Orchestra and  Andrew Manze,"Symphony No. 2 in D Major, Op. 73: II. Adagio non troppo - L'istesso tempo, ma grazioso"
Grady Rivers,Wonderin'
Die Sektor,Motionless
California Guitar Trio,Middle of Tx
Kristina Bach,Single-Bells
Dietrich Buxtehude and  Theatre Of Voices and  TOV Band and  Paul Hillier,"Missa alla brevis, BuxWV 114: Gloria"
J.D. Jarvis,Uncloudy Day
John Corabi,Loveshine
Matt McGinn,Samson
Nations,To Find a Woman
Bronco,Ni Quemando las Cobijas
Z-plan,Circus
Stanley Clarke,Minute By Minute - Live
Tha Dogg Pound,Respect
Trans-Siberian Orchestra,Remember Narration
Harambee,Time After Time
Andrea Gabrieli and  I Fagiolini and  Robert Hollingworth,Chi'nde dara la bose al solfizar
Superchunk,Like a Fool - Live
Alex Cline Ensemble,Rose Window
Osborne,ONE OF US
Kidz In The Hall,Intro
Rench,Lone Dogs
Fernando Lamas and  Jay Blackton Orchestra,Vilia
Sundrenched,Remembering Your Hands
Yemi Alafifuni,My Hosanna
Wojciech Kilar,End Credits
Marvaless,Anotha Dead Nigga
Johann Sebastian Bach and  Michael Austin,"Toccata, Adagio and Fugue in C Major, BWV 564"
Kagan Publishing and  Gary Lamb,Keeping the Promise
Absentia Lunae,Tragedy Told By Golden Horns
Tigerforest,Shimmering Sunrise
S!RiUS BLACK,Blap!
Rachel Grimes,On the Morrow
The Electric Pop Group,My Only Inspiration
Travis King Band,Still Thinkin'
Michael McCann,And Away We Go
AStoob,Still Elite Remix
Psyche,The Outsider 2001
Jonny Blu,I Get No Kick From Champagne
Various Artists,The Way I Do - Celeste Lear
Franz Schubert and  Kodály Quartet,"5 German Dances and 7 Trios with Coda, D. 90: No. 4 in F Major"
Nicolas Bougaïeff,Embrace Hope All Ye Who Enter Here
Kris Kristofferson,Please Don't Tell Me How The Story Ends
Molly Hatchet,Boogie No More
Dan Tepfer,Variation 8
Catherine Asaro and  Point Valid,Diamond Star
Circus Contraption,Stilt Faeries
Morglbl,Far Tea Time
Various Artists,She's Got It - Ted Weems Orchestra - Parker Gibbs
Clare Fischer,Liebesleid
Stevie Nicks,Dreams - Live 1982; 2016 Remaster
Run The Jewels and  El-P,Get It
Gustav Holst and  Finzi Singers and  Paul Spicer,"O lady, leave that silken thread, H. 4"
Heathen Apostles,Shady Grove
Nels Cline,Caved-in Heart Blues
Theo Katzman,Break up Together
Johann Ernst and  Anne Schumann and  Fürsten-Musik,Violin Concerto No. 7 in G Major: I. Adagio
Veronica Falls,Come On Over
Hossein Alizadeh & Madjid Khaladj,Ruhafza
YTCracker,Game Theory
Imagine Music,Zero Tolerance
Argyle Goolsby,The Wild Branch of Rose
Philipp Kirkorov,Синдбад-Мореход
Elvis Presley,Don't Leave Me Now
The Dead Elvi,Lucha Libre
Pvrenchymv,Jackal
Jackopierce,Something Good (Acoustic Version)
George Frideric Handel and  Capella Istropolitana and  Jozef Kopelman,"Concerto Grosso Op. 6, No. 5: Allegro"
Robert Pollard,Cameo of a Smile
Susan Werner,Intro: Aint I Lonely
Kaseem,Ain't Nothin' Promised
Noah Peterson,Get Some
Alison Mosshart,Sexy Pontiac XXX
Eight To The Bar,I Heard It Through The Grapevine
Santana,Just in Time to See the Sun
Zsa Zsa Padilla,Hiram
Ronnie Lott,Many Times
Rachael McShane,The Merchant's Question
Omar Sosa and  Steve Argüelles and  Childo Tomas and  Angá Diaz and  Luis Depestre,Dos Caminos
Twiggy,Heaven
Softer Still,Bliss
Heretics,Talent For Violence
Blonder,In and Out
Truth,Creatures
Trio Melodicos,Besame Mucho
Catherine Reed,Hippo
Bobby Watson and  The I Have a Dream Project and  Glenn North,Mlk On Jazz (Love Transforms) [feat. Glenn North]
Six Organs Of Admittance,Worn Down By The Light
Leopold Koželuch and  Kemp English,"Piano Sonata in B-Flat Major, P. XII:43: I. Adagio maestoso - Allegro molto"
